idRisultato,gara,posizionePartenza,posizioneArrivo,ritiro,tempoTotale,giroVeloce,giriInTesta
0000435,000023,19,25,1,00:00:00,00:00:00,0
0000436,000023,17,26,1,00:00:00,00:00:00,0
0000437,000023,21,27,1,00:00:00,00:00:00,0
0000438,000023,29,28,1,00:00:00,00:00:00,0
0000439,000023,8,29,1,00:00:00,00:00:00,0
0000440,000015,4,1,0,00:00:00,00:00:00,0
0000441,000015,11,2,0,00:00:00,00:00:00,0
0000442,000015,6,3,0,00:00:00,00:00:00,0
0000443,000015,13,4,0,00:00:00,00:00:00,0
0000444,000015,7,5,0,00:00:00,00:00:00,0
0000445,000015,15,6,0,00:00:00,00:00:00,0
0000446,000015,12,7,0,00:00:00,00:00:00,0
0000447,000015,16,8,0,00:00:00,00:00:00,0
0000448,000015,18,9,0,00:00:00,00:00:00,0
0000449,000015,20,10,0,00:00:00,00:00:00,0
0000450,000015,5,11,0,00:00:00,00:00:00,0
0000451,000015,14,12,0,00:00:00,00:00:00,0
0000452,000015,23,13,0,00:00:00,00:00:00,0
0000453,000015,19,14,0,00:00:00,00:00:00,0
0000454,000015,21,15,0,00:00:00,00:00:00,0
0000455,000015,25,16,0,00:00:00,00:00:00,0
0000456,000015,28,17,0,00:00:00,00:00:00,0
0000457,000015,1,18,1,00:00:00,00:00:00,0
0000458,000015,27,19,1,00:00:00,00:00:00,0
0000459,000015,3,20,1,00:00:00,00:00:00,0
0000460,000015,2,21,1,00:00:00,00:00:00,0
0000461,000015,10,22,1,00:00:00,00:00:00,0
0000462,000015,26,23,1,00:00:00,00:00:00,0
0000463,000015,29,24,1,00:00:00,00:00:00,0
0000464,000015,24,25,1,00:00:00,00:00:00,0
0000465,000015,17,26,1,00:00:00,00:00:00,0
0000466,000015,9,27,1,00:00:00,00:00:00,0
0000467,000015,8,28,1,00:00:00,00:00:00,0
0000468,000015,22,29,1,00:00:00,00:00:00,0
0000469,000026,5,1,0,00:00:00,00:00:00,0
0000470,000026,2,2,0,00:00:00,00:00:00,0
0000471,000026,1,3,0,00:00:00,00:00:00,0
0000472,000026,9,4,0,00:00:00,00:00:00,0
0000473,000026,4,5,0,00:00:00,00:00:00,0
0000474,000026,3,6,0,00:00:00,00:00:00,0
0000475,000026,10,7,0,00:00:00,00:00:00,0
0000476,000026,13,8,0,00:00:00,00:00:00,0
0000477,000026,16,9,0,00:00:00,00:00:00,0
0000478,000026,15,10,0,00:00:00,00:00:00,0
0000479,000026,21,11,0,00:00:00,00:00:00,0
0000480,000026,12,12,0,00:00:00,00:00:00,0
0000481,000026,11,13,0,00:00:00,00:00:00,0
0000482,000026,18,14,0,00:00:00,00:00:00,0
0000483,000026,27,15,0,00:00:00,00:00:00,0
0000484,000026,24,16,0,00:00:00,00:00:00,0
0000485,000026,20,17,0,00:00:00,00:00:00,0
0000486,000026,17,18,0,00:00:00,00:00:00,0
0000487,000026,29,19,0,00:00:00,00:00:00,0
0000488,000026,22,20,0,00:00:00,00:00:00,0
0000489,000026,28,21,0,00:00:00,00:00:00,0
0000490,000026,23,22,0,00:00:00,00:00:00,0
0000491,000026,25,23,0,00:00:00,00:00:00,0
0000492,000026,7,24,1,00:00:00,00:00:00,0
0000493,000026,8,25,1,00:00:00,00:00:00,0
0000494,000026,6,26,1,00:00:00,00:00:00,0
0000495,000026,19,27,1,00:00:00,00:00:00,0
0000496,000026,14,28,1,00:00:00,00:00:00,0
0000497,000026,26,29,1,00:00:00,00:00:00,0
0000498,000016,9,1,0,00:00:00,00:00:00,0
0000499,000016,13,2,0,00:00:00,00:00:00,0
0000500,000016,11,3,0,00:00:00,00:00:00,0
0000501,000016,12,4,0,00:00:00,00:00:00,0
0000502,000016,16,5,0,00:00:00,00:00:00,0
0000503,000016,26,6,0,00:00:00,00:00:00,0
0000504,000016,15,7,0,00:00:00,00:00:00,0
0000505,000016,16,8,0,00:00:00,00:00:00,0
0000506,000016,23,9,0,00:00:00,00:00:00,0
0000507,000016,25,10,0,00:00:00,00:00:00,0
0000508,000016,24,11,0,00:00:00,00:00:00,0
0000509,000016,18,12,0,00:00:00,00:00:00,0
